subtaskID,datapointID,answer
1,12633,PM
1,24448,PM
1,14208,AM
1,39654,AM
1,337,AM
1,14580,AM
1,20132,AM
1,24376,AM
1,8805,PM
1,27588,PM
1,21052,PM
1,39563,PM
1,6186,PM
1,34165,PM
1,8569,PM
1,32781,PM
1,7494,AM
1,32494,AM
1,24159,AM
1,13736,PM
1,20646,AM
1,13291,AM
1,14501,AM
1,20468,PM
1,5295,AM
1,6153,AM
1,5946,PM
1,20624,PM
1,10720,AM
1,2873,PM
1,19449,AM
1,34916,PM
1,500,AM
1,22092,PM
1,13539,PM
1,9706,PM
1,25644,PM
1,16257,PM
1,7410,PM
1,28389,AM
1,36507,AM
1,14758,AM
1,33896,AM
1,520,AM
1,8807,AM
1,21845,AM
1,24604,AM
1,12273,AM
1,12800,AM
1,14226,AM
1,31357,AM
1,28571,AM
1,20347,PM
1,35810,AM
1,19612,PM
1,24289,PM
1,25007,AM
1,16316,AM
1,37586,AM
1,3852,PM
1,33085,AM
1,31239,AM
1,8555,PM
1,34481,AM
1,2601,AM
1,37962,AM
1,27119,AM
1,15580,PM
1,20612,PM
1,17739,PM
1,35373,AM
1,4362,AM
1,11970,AM
1,649,PM
1,8270,AM
1,5743,PM
1,20308,PM
1,24918,PM
1,10071,AM
1,7356,AM
1,32186,AM
1,14824,AM
1,20681,AM
1,9422,PM
1,25426,AM
1,11273,AM
1,9671,AM
1,23239,AM
1,7225,PM
1,17958,AM
1,31328,AM
1,28496,AM
1,26945,PM
1,25951,AM
1,18656,PM
1,1813,AM
1,34802,AM
1,4870,PM
1,10364,PM
1,33199,AM
1,935,AM
1,8367,AM
1,36815,PM
1,36986,PM
1,14068,PM
1,22347,PM
1,39510,PM
1,28251,PM
1,8830,PM
1,20977,PM
1,15013,PM
1,1654,PM
1,32923,AM
1,6875,PM
1,5296,PM
1,5765,AM
1,32614,AM
1,27915,PM
1,38332,AM
1,16451,PM
1,28860,PM
1,32292,AM
1,39299,PM
1,4490,PM
1,6619,PM
1,29530,PM
1,33065,AM
1,18462,AM
1,4160,PM
1,36167,PM
